Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
131	-42.71	22.7	36.13	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	Frontal_Mid_R
132	-28.59	30.09	40.1	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Mid_R
133	-42.18	13.94	41.54	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Mid_R
134	14.87	25.64	50.09	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_L
135	21.05	-13.34	61.41	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_L
136	18.02	47.64	31.21	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_L
137	20.47	54.02	12.4	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_L
138	19.3	32.17	41.44	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_L
139	13.62	-15.82	70.44	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_L
140	18.22	-4.64	60.64	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_L
141	11.87	16.99	53.7	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_L
142	11.94	42.95	37.25	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_L
143	12.52	-2.25	61.16	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_L
144	12.13	34.29	45.15	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_L
145	15.81	9.49	57.44	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_L
146	17.36	54.91	19.31	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_L
147	14.44	53.28	26.27	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_L
148	-25.84	-0.53	-13.15	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	Amygdala_R
149	2.51	44.02	42.97	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_Medial_L
150	4.18	53.46	26.21	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_Medial_L
151	4.32	24.3	56.25	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	Frontal_Sup_Medial_L
152	0.78	20.17	53.95	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_Medial_L
153	3.5	43.51	26.18	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_Medial_L
154	3.82	19.53	42.51	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	Frontal_Sup_Medial_L
155	7.05	58.24	14.7	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	Frontal_Sup_Medial_L
156	3.62	35.24	50.93	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	Frontal_Sup_Medial_L
157	5.16	52.52	34.07	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_Medial_L
158	3.75	51.03	15.85	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Sup_Medial_L
