Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
627	-9.57	9.32	6.23	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	Caudate_R
628	-11.5	-21.58	12.81	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Medial Dorsal Nucleus	Thalamus_R
629	-9.33	-13.18	6.24	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	Thalamus_R
630	-17.04	-17.23	8.39	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Ventral Posterior Lateral Nucleus	Thalamus_R
631	-13.77	-27.27	5.48	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	Thalamus_R
632	2.12	34.52	16.75	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	Cingulum_Ant_L
633	2.52	28.47	28.28	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	Cingulum_Ant_L
634	1.62	22.1	24.23	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	Cingulum_Ant_L
635	3.25	10.07	30.27	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	Cingulum_Ant_L
636	4.93	30.98	2.71	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	*	Cingulum_Ant_L
637	3.26	41.3	11.0	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	Cingulum_Ant_L
