Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
552	-45.82	-63.19	1.54	Left Cerebrum	Occipital Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	0	
553	-56.14	-16.87	-1.64	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	1	
554	-58.65	-29.55	2.89	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	0	
555	-50.86	-50.58	12.66	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
556	-58.2	-32.83	-2.93	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	*	2	
557	-47.51	-57.84	8.06	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	2	
558	-51.43	-55.08	-2.66	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	0	
559	-57.13	-35.17	-10.95	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	4	
560	-55.71	-14.66	-15.14	Left Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 21	0	
561	-42.54	-65.26	12.7	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	3	
562	-48.48	2.28	-18.33	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
563	-50.27	-53.04	3.97	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	4	
564	56.85	-34.29	-1.07	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	*	3	
565	53.75	-38.93	5.35	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	1	
566	52.45	0.64	-14.01	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
567	46.01	-60.05	15.84	Right Cerebrum	Occipital Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 19	0	
568	49.54	-50.51	13.04	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	2	
569	58.39	-23.96	-4.5	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	0	
570	42.72	-66.9	13.59	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	3	
571	51.1	-52.79	1.44	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	3	
572	56.63	-13.81	-7.76	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
573	50.84	-46.07	5.65	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	3	
574	55.49	-37.67	-6.67	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 20	5	
575	57.37	-13.76	-13.64	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 21	2	
576	48.57	-57.76	8.55	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	2	
577	46.94	-60.36	0.66	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 37	0	
578	53.64	-44.95	-2.82	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	5	
579	57.18	-27.16	-7.49	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
580	51.87	-3.09	-17.81	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
581	42.65	-67.43	3.13	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 37	0	
582	-45.11	12.95	-23.48	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	1	
